x,y,shot_statsbomb_xg,body_part_name,outcome_name,distance,angle
113.2,52.5,0.052568585,Right Foot,Goal,99.82174913314232,0.04961262722352242
107.6,29.1,0.10014443,Left Foot,Off T,113.48415572228575,0.051673715383891275
103.5,49.5,0.059421957,Right Foot,Off T,95.10938754928453,0.05707227145178905
100.2,33.3,0.08820046,Right Foot,Blocked,105.74488923820385,0.05676298287275017
94.0,44.4,0.034058154,Right Foot,Blocked,93.10314495225174,0.06385354953693062
100.6,58.9,0.011698737,Left Foot,Saved,86.2953857399108,0.06009465393819189
103.8,56.4,0.028624984,Right Foot,Blocked,90.32662730335944,0.057092364008993604
115.0,44.6,0.22362103,Right Foot,Off T,106.589284639686,0.04859880695919556
98.9,42.8,0.050982397,Left Foot,Off T,97.30990494291936,0.059691551591757694
105.5,42.9,0.09020188,Left Foot,Blocked,101.386959713762,0.054920015248624686
116.5,31.4,0.23502783,Left Foot,Saved,117.27892223242846,0.047163483706311134
108.0,54.9,0.0596119,Right Foot,Saved,94.38413849794891,0.05352203615119802
95.2,41.5,0.054610096,Left Foot,Off T,96.16101912937488,0.0621516305801606
113.1,28.9,0.101339325,Left Foot,Off T,117.01556990417984,0.04871061030486063
112.3,45.1,0.16491379,Head,Goal,104.33877323411465,0.05038120003375146
108.0,31.0,0.03680788,Head,Off T,112.2112097787026,0.05174912045992931
97.2,37.6,0.051378094,Right Foot,Goal,100.50179898887383,0.05972417800113453
97.4,45.4,0.04007158,Left Foot,Blocked,94.33486948101428,0.06137815002775651
97.4,49.7,0.029657349,Right Foot,Off T,90.97251013355628,0.06219980330349729
117.8,38.0,0.5642073,Head,Off T,113.26897015511354,0.04679931586088671
99.8,51.3,0.036774643,Right Foot,Blocked,91.30448838912577,0.06034681383118308
105.5,38.5,0.13638648,Head,Off T,104.77192181114175,0.05436020716435677
102.4,30.5,0.07740248,Right Foot,Saved,109.30030924018467,0.054845730543704396
88.1,50.9,0.015701557,Right Foot,Off T,84.38746115389418,0.07104270828822944
109.5,27.1,0.090813234,Left Foot,Off T,116.22407495867628,0.0503498629389317
101.8,45.3,0.07324356,Left Foot,Saved,97.16722492692688,0.05793252752708594
107.4,40.5,0.25516874,Right Foot,Saved,104.44595540278236,0.05336003740344841
112.8,35.0,0.17842196,Right Foot,Off T,112.13589790963464,0.049493568968036306
108.7,30.9,0.085805565,Left Foot,Wayward,112.71792936352229,0.051342744318808926
112.9,45.0,0.3457039,Right Foot,Goal,104.8288967794663,0.04997792830834383
103.9,40.6,0.027145049,Head,Blocked,102.13294081734846,0.05573243501921658
109.1,60.5,0.008288619,Right Foot,Off T,91.44486644968103,0.05212093005812114
99.8,35.6,0.07906983,Left Foot,Off T,103.63483777186126,0.057531339180891455
115.3,34.7,0.10217343,Right Foot,Blocked,114.0065770032589,0.04805224651556914
